Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C17",1206,5,10uF 50V,C13585
"C15, C23, C25, C26, C27, C3",0603,6,1uF 50V,C15849
"C16, C24, C28, C7, C9",0603,5,100nF 50V,C14663
C18,0805,1,100nF 200V,C342865
"C20, C4",0603,2,1uF,C15849
C21,0603,1,0.22uF,C21120
C22,0603,1,1nF,C1588
C29,0603,1,100nF,C14663
C30,0603,1,470pF,C1620
"C5, C6",1812,2,1uF 200V,C3037685
C8,0603,1,10nF,C57112
D1,0603,1,White LED,C2290
"D10, D11, D4, D6",D_TUMD2,4,"150V 1A, Schottky",C2842811
D12,D_SMB,1,"130V, Zener",C236106
D2,TO-263-2,1,"Dual Schottky Diode, Common K",C2845075
D3,0603,1,Red LED,C2286
D7,D_PowerDI-123,1,"150V 1A, Schottky bigger",C156325
"D8, D9",D_SOD-323,2,Schottky Diode,C191023
F1,Fuse_Littelfuse-NANO2-451_453,1,20A,C178980
"J1, J4",Wurth_TerminalBlock_2pin_P5mm_691137710002,2,Screw_Terminal 2pin,C8269
J2,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,XH 2pin,C161869
J6,Molex_Connector_8pin_P1mm_526100872,1,FFC 8pin,C2915520
J7,Wurth_TerminalBlock_3pin_P5mm_691137710003,1,Screw_Terminal 3pin,C8270
"J8, J9",PinSocket_1x20_P2.54mm_Vertical,2,"Socket 20pin, 2.54mm",C5224030
L1,L_12x12mm_H6mm,1,1u,C230666
L2,L_12x12mm_H8mm,1,"100uH, Isat=2.7A",C2453104
L4,BOURNS-PQ2614B,1,10u,C1330029
"Q14, Q15, Q16, Q17, Q18, Q19, Q7",Infineon-TG-TDSON-8-NMOS,7,"N-ch, Vds>=200V, fast switch, low Rds",C501501
"Q2, Q6",Infineon-TG-TDSON-8-NMOS,2,"N-ch, Vds>=60V, fast switch, low Rds",C24199
R1,0603,1,1k,C21190
"R14, R23, R24, R25, R26",0603,5,10k,C25804
R15,2512,1,10k 150V 1W,C270956
R18,0805,1,470k 150V,C17709
"R19, R22",0603,2,100k,C25803
R20,0603,1,7.5k,C23234
R3,0805,1,100k 150V,C122537
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM5104MX/NOPB,C206493
"U10, U11, U5, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,UCC27288DR,C2866142
U12,SOT-563,1,TMP102,C99269
U2,TO-252-2,1,L78M05ABDT,C58069
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS724LLCTR-30AU,C2155519
U4,AD-MSOP-LT8365,1,LT8365,C673785
U6,SOT-23,1,REF3030,C38423
